ProbeID	Name	3-2_ham_S91_L004	3-4_ham_S92_L004	3-6_ham_S93_L004	4-2_ham_S94_L004	4-5_ham_S95_L004	4-6_ham_S96_L004	UN_CT_1_ham_S89_L004	UN_CT_3_ham_S90_L004
ENSMAUG00000000082.1	SH3RF1	1.248534836	1.481815574	1.806117796	1.729444007	1.107687869	1.246712101	1.076559095	1.675364313
ENSMAUG00000000083.1	CLCN1	-1	-1	-0.978	-0.981	-0.994	-0.981	-0.992	-1
ENSMAUG00000000084.1		-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000085.1	MCM6	3.077242999	3.207736707	3.483364361	2.218781168	1.907275263	1.756169328	1.033511102	1.291603558
ENSMAUG00000000086.1		-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000087.1	RAB10	3.921721947	4.016407174	4.140942217	3.888402319	3.565840854	3.735197209	3.232046713	3.638884763
ENSMAUG00000000088.1	MX1	7.004815964	6.889242323	7.29259772	4.66254733	5.76420813	2.783875677	2.057623558	2.385431037
ENSMAUG00000000089.1	FAM49A	1.507921465	1.477159211	1.543495883	2.842576631	2.149584553	2.898014819	2.22527493	2.393965276
ENSMAUG00000000090.1	B3GNT9	0.40053793	0.140124224	0.574343754	0.614474283	0.642470537	0.959028219	0.09895848	0.775682702
ENSMAUG00000000091.1	HSF5	-0.933	-1	-0.887	-0.936	-0.935	-0.904	-0.946	-0.948
ENSMAUG00000000092.1	MGAT4B	2.206018004	2.803846973	2.427069755	2.96827511	2.611644543	2.743730376	2.557777671	2.759581973
ENSMAUG00000000093.1	ZIC1	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000094.1		-1	-1	-1	-0.939	-1	-1	-1	-1
ENSMAUG00000000095.1	RWDD3	-0.355	-0.244	-0.307	0.33571191	-0.321	0.418999465	-0.218	0.158337027
ENSMAUG00000000096.1	PTPRD	0.743299528	0.799916203	0.600269754	2.257010618	1.902652471	2.320484678	1.284514133	1.779049553
ENSMAUG00000000097.1	GAS2	-0.868	-0.547	-0.852	-0.17	-0.544	-0.401	-0.575	-0.427
ENSMAUG00000000098.1	WFDC15B	-1	-0.691	-1	-1	-1	-1	-1	-1
ENSMAUG00000000099.1	DNAJC27	-0.293	-0.151	-0.107	1.005040617	0.370722275	0.743299528	0.317304068	0.412510571
ENSMAUG00000000100.1		-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000101.1	FABP1	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000102.1	CETN4	-0.666	-0.586	-0.439	-0.35	-0.707	-0.673	-0.862	-0.683
ENSMAUG00000000103.1	LHX8	-0.928	-0.974	-1	-1	-0.985	-1	-0.884	-0.907
ENSMAUG00000000104.1	GPR183	0.569491092	1.628540319	0.559736524	1.056583528	1.873813198	1.918004519	0.056583528	0.22897257
ENSMAUG00000000105.1	DOK5	-1	-1	-0.946	-0.721	-0.969	-0.584	-0.491	-0.775
ENSMAUG00000000106.1	KLHL42	-0.303	-0.126	0.35952117	-0.157	-0.137	-0.142	-0.175	0.064882852
ENSMAUG00000000107.1	BPIFB6	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000108.1	ITGB8	-0.478	-0.273	-0.133	-0.775	-0.658	-0.716	-0.714	-0.476
ENSMAUG00000000109.1		-0.425	-0.406	-0.449	-0.655	-0.728	-0.598	-0.726	-0.307
ENSMAUG00000000110.1	FZD6	1.781989116	2.290424404	2.100304906	3.116697443	2.245799868	2.470927257	2.237257771	2.498250868
ENSMAUG00000000111.1	ZC3H7A	2.915329676	2.898014819	3.134385246	3.123003954	2.767654798	3.272620455	2.724868515	3.043519494
ENSMAUG00000000112.1	MT3	-1	-1	-1	0.249748715	-0.732	-0.24	0.037030731	-0.055
ENSMAUG00000000113.1	GAB3	-0.604	-0.617	-0.598	-0.428	-0.508	-0.412	-0.522	-0.586
ENSMAUG00000000114.1		-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000115.1		4.527570837	4.709400929	5.434394709	3.825175049	3.340419844	3.753604536	3.292928955	3.651797967
ENSMAUG00000000116.1	HESX1	-1	-1	-1	-1	-0.953	-1	-1	-1
ENSMAUG00000000117.1	TBL1XR1	3.363311274	3.269631651	3.377956634	3.481040556	3.09592442	3.500292177	2.699773705	3.124162679
ENSMAUG00000000118.1		-0.222	0.616357697	-0.207	-0.023	-0.371	-0.968	-0.851	-0.86
ENSMAUG00000000119.1		1.646162657	1.687060688	1.635986504	2.007913082	1.4473147	1.909581116	1.269631651	1.476640909
ENSMAUG00000000120.1	TMC3	-0.982	-0.981	-1	-0.991	-1	-0.983	-1	-1
ENSMAUG00000000121.1	FAM122B	0.052415894	0.108357178	0.388465097	-0.319	-0.281	-0.126	-0.39	-0.47
ENSMAUG00000000122.1	ACYP1	0.989865623	1.007195501	1.276198865	3.283921772	2.46388398	3.000721167	1.947479146	2.601934173
ENSMAUG00000000123.1	BZW2	3.670047179	3.553237611	3.992677806	1.98112199	2.120020096	1.597888675	1.873025701	1.806942665
ENSMAUG00000000124.1		0.762986565	0.931304844	0.459431619	1.973427598	1.318461465	1.942608336	1.222804561	2.086783766
ENSMAUG00000000125.1	MICOS13	4.655180069	4.484009198	4.325386415	4.48973559	4.415082583	4.744806934	4.514437914	4.392935588
ENSMAUG00000000126.1		-0.292	0.611644543	0.44148348	-0.299	-0.521	-0.801	-0.749	-0.76
ENSMAUG00000000127.1	CPPED1	1.10634832	1.303342394	1.28036249	0.80240004	0.435095152	0.845590409	0.45206823	0.769771739
ENSMAUG00000000128.1	CBR3	2.19061486	1.793271654	2.052415894	1.429749851	1.34879896	1.458382004	1.716771456	2.006836577
ENSMAUG00000000129.1	ENKUR	1.430820497	2.366811773	1.993493221	1.930548119	1.893750502	-0.733	-0.456	-0.389
ENSMAUG00000000130.1	ABHD2	4.853646405	5.14970648	5.346921442	5.270790547	4.817827881	4.785550552	3.945420425	4.752481004
ENSMAUG00000000131.1	CCDC194	-0.897	-0.889	-0.942	-1	-1	-1	-0.958	-0.96
ENSMAUG00000000132.1	CDH9	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000133.1	VAMP7	2.387913924	2.067294521	1.971589536	2.611644543	2.367650631	3.115532705	2.301880253	2.378789038
ENSMAUG00000000134.1	ZIC4	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000135.1	GDF2	-1	-0.98	-1	-0.982	-0.988	-1	-0.985	-0.971
ENSMAUG00000000136.1		-0.788	-0.903	-0.966	-0.855	-0.942	-0.856	-0.927	-0.718
ENSMAUG00000000137.1	SH2D6	-0.893	-0.957	-0.955	-0.873	-0.949	-0.887	-0.957	-0.959
ENSMAUG00000000138.1		0.645240513	1.031395196	0.950841638	1.935082523	1.486456956	1.864334741	2.089498151	2.316145742
ENSMAUG00000000139.1	MAP9	-0.226	0.257010618	0.32998465	0.166072676	-0.288	-0.211	-0.369	-0.35
ENSMAUG00000000140.1		2.062467144	1.789937869	2.191878443	2.055542748	1.531069493	2.343123519	2.050327554	2.251567621
ENSMAUG00000000141.1	4833420G17RIK	-0.594	-0.637	-0.451	-0.82	-0.845	-0.848	-0.924	-0.885
ENSMAUG00000000142.1	TLR1	2.300416628	1.935459748	2.580386718	-0.119	0.488515009	-0.315	-0.467	-0.625
ENSMAUG00000000143.1	PCDH9	-0.99	-0.948	-0.926	-0.906	-0.914	-0.861	-0.946	-0.866
ENSMAUG00000000144.1	GTF2A1L	-0.455	-0.561	-0.54	-0.675	-0.666	-1	-1	-0.982
ENSMAUG00000000145.1	PTCD3	2.814755483	2.792022388	3.146003451	2.699773705	2.377956634	2.842375488	2.527821022	2.646393101
ENSMAUG00000000146.1		0.611644543	1.365132593	1.085424656	1.037030731	0.839153387	0.873419503	0.285698126	0.855989697
ENSMAUG00000000147.1	PDIA4	4.660495132	4.810186008	5.246902076	4.262959264	3.762242497	3.545103481	3.12763328	3.356707253
ENSMAUG00000000148.1	CTSE	0.59454855	0.154453593	0.155749233	0.267835392	-0.272	-0.051	-0.475	-0.563
ENSMAUG00000000149.1	DKK2	-0.352	0.487486349	-0.352	-0.237	-0.158	-0.696	-0.513	-0.37
ENSMAUG00000000150.1		-0.877	-0.934	-0.861	-0.793	-0.821	-0.766	-0.601	-0.473
ENSMAUG00000000151.1	DYNAP	-0.911	-0.904	-1	-1	-1	-1	-1	-1
ENSMAUG00000000152.1	AGMO	-0.976	-1	-0.946	-0.954	-0.796	-0.977	-0.875	-0.926
ENSMAUG00000000153.1	CD8A	1.283921772	1.710172748	1.186500558	0.778208576	1.037030731	0.889084099	-0.67	0.147957881
ENSMAUG00000000154.1		-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000155.1		3.625036646	3.470536865	3.785341299	3.142250043	3.101986173	3.167839602	2.701992554	2.794727767
ENSMAUG00000000156.1	DCAF12L1	-0.873	-0.773	-0.872	-0.832	-0.84	-0.762	-0.78	-0.778
ENSMAUG00000000157.1		-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000158.1	DHX36	1.574343754	1.41467678	1.792022388	1.764685853	1.241230036	1.708849377	1.253384236	1.300416628
ENSMAUG00000000159.1		-1	-1	-1	-1	-1	-1	-0.829	-1
ENSMAUG00000000160.1	INMT	-0.774	-0.417	-0.888	-0.695	-0.794	-0.784	-0.34	-0.366
ENSMAUG00000000161.1	ZDHHC9	0.162210036	0.231432408	0.581110175	1.103665483	0.515005916	0.865522959	0.284514133	0.89840186
ENSMAUG00000000162.1		-0.461	-0.721	-0.456	-0.411	-0.6	-0.662	-0.718	-0.648
ENSMAUG00000000163.1	ZFP354B	0.303342394	0.062121712	0.332278283	0.455228571	0.224040274	0.98622888	0.205392513	0.5290713
ENSMAUG00000000164.1	COL19A1	-0.911	-0.962	-0.908	-0.958	-0.969	-0.944	-0.889	-0.888
ENSMAUG00000000165.1	SLC7A14	-0.993	-0.993	-0.993	-1	-1	-0.994	-1	-1
ENSMAUG00000000166.1	CPSF3	2.491596594	2.758303177	2.953451501	2.617533583	2.241230036	2.340277405	1.748890543	2.290424404
ENSMAUG00000000167.1		-0.09	0.264236151	0.663572335	2.234807853	0.932061171	2.099295204	1.882838656	1.398897571
ENSMAUG00000000168.1	SLC35A5	1.161565256	1.541019153	1.301002256	1.394514142	1.155101558	1.392317423	0.942608336	0.542010356
ENSMAUG00000000169.1	GM7073	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000170.1	ZGLP1	-0.965	-0.926	-0.922	-1	-1	-1	-1	-0.973
ENSMAUG00000000171.1	SOX3	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000172.1	ARHGAP35	2.162532318	2.349931373	2.321639527	2.408711861	2.144699025	2.791188942	2.275603079	2.79243893
ENSMAUG00000000173.1	TTC33	3.957728912	3.426533138	3.86056558	4.466822859	3.930358876	4.43476165	3.964675869	4.364152169
ENSMAUG00000000174.1	GPRIN3	0.609754962	0.463622457	0.191562651	1.345396375	1.347098671	1.440952198	0.809825996	1.086783766
ENSMAUG00000000175.1		-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000176.1		3.515636768	3.677508242	3.358114898	4.14543291	3.961808515	4.285180249	3.510708793	3.688292278
ENSMAUG00000000177.1		-0.019	0.074505436	0.321928095	-0.026	-0.272	-0.111	-0.351	0.020057652
ENSMAUG00000000178.1	CIP2A	1.161565256	0.875780063	1.38901606	-0.63	-0.511	-0.593	-0.788	-0.763
ENSMAUG00000000179.1	ZFP879	-0.515	-0.462	-0.59	-0.233	-0.488	-0.416	-0.528	-0.405
ENSMAUG00000000180.1	DAPK1	1.873025701	2.167357928	1.909197063	3.167839602	2.442810828	2.69265037	1.6617496	2.499016697
ENSMAUG00000000181.1		0.895302621	1.079975377	1.407080775	1.292781749	0.635986504	1.240619629	0.847195187	1.247927513
ENSMAUG00000000182.1	FRAS1	-0.774	-0.79	-0.554	0.498761466	0.277389699	1.3950628	-0.103	1.435095152
ENSMAUG00000000183.1		2.371837617	3.022012644	2.623632791	2.472487771	1.996388746	0.456280482	0.503857533	0.772307975
ENSMAUG00000000184.1		-0.943	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000185.1	TMEM156	0.732052073	0.592636429	0.182692298	-0.132	0.376290383	0.096261853	-0.522	-0.157
ENSMAUG00000000186.1	HLCS	0.789103218	1.218471211	0.877351626	1.04194383	0.729444007	0.726831217	0.337996464	0.688851744
ENSMAUG00000000187.1		4.007644031	3.987047947	3.945607703	4.516267344	3.834205557	4.432224514	3.881664619	4.140451477
ENSMAUG00000000188.1		-1	-1	-0.826	-1	-1	-1	-0.969	-0.97
ENSMAUG00000000189.1		-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000190.1		-0.817	-0.627	-0.631	-0.476	-0.485	-0.407	-0.647	-0.522
ENSMAUG00000000191.1		3.875288598	3.81393507	4.125237805	3.83248499	3.449561375	3.453649266	3.888012585	3.829443681
ENSMAUG00000000192.1	ANK	2.492878648	2.430017587	2.692427198	3.074505436	2.644317778	2.736821317	2.850199342	2.825785627
ENSMAUG00000000193.1		8.473397292	8.439747789	8.30030222	7.810481664	8.032673927	8.193934333	7.316408257	7.437477445
ENSMAUG00000000194.1	SPTA1	-0.795	-0.722	-0.735	-0.422	-0.789	-0.511	-0.692	-0.74
ENSMAUG00000000195.1	TLX3	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000196.1	RGN	-0.852	-0.936	-0.933	-0.517	-0.561	-0.605	-0.568	-0.469
ENSMAUG00000000197.1	MESD	3.243669081	3.237869601	3.431355522	2.779469857	2.442280035	2.67559014	2.234807853	2.573616894
ENSMAUG00000000198.1	CDS1	3.596338864	3.539903236	3.105175192	3.460742564	3.289391853	3.384464315	3.190456835	3.463099267
ENSMAUG00000000199.1	PHF6	2.351062899	2.111365231	2.654664667	2.307719949	1.897240426	2.174406419	1.534061602	1.683471893
ENSMAUG00000000200.1	KCTD10	3.319762428	3.483364361	4.017298387	4.233044401	3.835317772	3.947853143	3.22881869	3.646162657
ENSMAUG00000000201.1	TJAP1	0.560714954	1.041242982	1.078609835	0.888304895	0.531069493	0.426533138	0.206643224	0.556797247
ENSMAUG00000000202.1		-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000203.1	MCTP2	0.634128558	0.466757616	0.626672753	0.710172748	0.741574847	0.941857519	0.140124224	0.583037624
ENSMAUG00000000204.1	TEX48	-1	-0.834	-1	-1	-1	-1	-1	-0.634
ENSMAUG00000000205.1	SPATA16	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000206.1		4.856935906	4.946871193	5.203984166	4.641430424	4.322360838	4.078268247	3.987229899	3.817623258
ENSMAUG00000000207.1		1.086104371	1.640158155	1.342554745	2.832282436	1.835115615	2.730748629	1.988048397	2.43055291
ENSMAUG00000000208.1		-0.02	-0.469	-1	-0.877	-0.666	-0.878	-0.589	-0.805
ENSMAUG00000000209.1	UBTD2	2.21350282	2.158337027	2.573859222	2.675815931	2.135206499	2.507921465	2.579180148	2.776314585
ENSMAUG00000000210.1	SLURP2	-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000211.1		-0.346	-0.011	-0.106	-0.867	-0.542	-0.118	-0.525	-0.366
ENSMAUG00000000212.1	TMEM144	0.35614381	0.630405471	-0.1	0.615416297	-0.113	0.389566812	0.012926174	-0.179
ENSMAUG00000000213.1		2.603834019	2.348515717	2.59645814	2.271126827	1.948600847	2.240924865	1.804466643	1.869081754
ENSMAUG00000000214.1		0.750177706	0.843983844	0.858378925	1.421155961	0.736388401	1.073134705	0.504874589	1.043344505
ENSMAUG00000000215.1	MLEC	4.283551423	4.394376945	4.600923862	3.682685652	3.32998465	3.459693903	3.281253134	3.627256627
ENSMAUG00000000216.1	THYN1	1.418999465	1.409798228	1.742006211	0.495695163	0.219091058	0.518031493	0.283329168	0.591679417
ENSMAUG00000000217.1		4.694490223	4.571858804	4.980253846	4.89219671	4.312592572	4.704927281	3.869279207	4.180784391
ENSMAUG00000000218.1	GNB1L	-0.454	-0.461	-0.447	-0.725	-0.717	-0.675	-0.758	-0.672
ENSMAUG00000000219.1	HBB-BH1	-1	-0.914	-1	-1	-1	-1	-1	-1
ENSMAUG00000000220.1	NOSIP	3.255651793	3.306991279	3.590003117	3.339564998	3.120517834	3.331705216	2.888304895	3.280213996
ENSMAUG00000000221.1		-1	-1	-1	-1	-1	-1	-1	-1
ENSMAUG00000000222.1	GLTP	2.760859637	3.069702167	3.286585483	3.367650631	2.885964757	2.879313676	2.449429314	3.092883966
ENSMAUG00000000223.1	RIMBP3	-1	-1	-1	-0.988	-0.996	-1	-1	-0.995
ENSMAUG00000000224.1	CRYBA4	-1	-1	-0.935	0.362890643	-0.47	-0.054	-0.765	-0.549
ENSMAUG00000000225.1	TMEM89	-0.979	-0.954	-0.928	-0.959	-0.973	-0.98	-0.983	-0.983
ENSMAUG00000000226.1	ARSI	0.818850561	1.745022149	1.570462931	-0.338	-0.001	-0.597	-0.409	-0.109
ENSMAUG00000000227.1	PRRG1	2.04649106	1.859969548	2.234501321	2.249748715	1.567058626	1.82374936	1.343692069	1.582074221
ENSMAUG00000000228.1	SPICE1	0.593592806	0.704871964	0.748461233	1.212258044	0.482332021	0.751035177	0.167357928	0.659011171
ENSMAUG00000000229.1	TRIM69	-0.708	-0.652	-0.599	-0.845	-0.77	-0.815	-0.764	-0.698
ENSMAUG00000000230.1	RIBC1	-0.249	0.456280482	0.277389699	-0.331	-0.326	-0.881	-0.939	-0.864
ENSMAUG00000000231.1	UPP2	-0.959	-1	-0.985	-0.987	-0.991	-1	-0.978	-0.979
